ECOREGION,Species,Studies
Agulhas Bank,Ecklonia maxima,Levitt et al. 2002; SA_Gansbaai_kelp
Aleutian Islands,Agarum clathratum,Estes_NPRB
Aleutian Islands,Agarum sp.,Estes and Duggins 1995
Aleutian Islands,Alaria sp.,Estes and Duggins 1995
Aleutian Islands,Cymathaere triplicata,Estes_NPRB
Aleutian Islands,Eualaria fistulosa,Estes_NPRB
Aleutian Islands,Laminaria longipes,Estes_NPRB
Aleutian Islands,Laminaria sp.,Estes_NPRB
Aleutian Islands,Laminaria yezoensis,Estes_NPRB
Aleutian Islands,Nereocystis sp.,Estes_NPRB
Aleutian Islands,Pleurophycus gardneri,Estes_NPRB
Aleutian Islands,Thalassiophyllum sp.,Estes and Duggins 1995
Araucanian,Lessonia trabeculata,Central_Chile_Fondecyt; Vega et al. 2005
Araucanian,Macrocystis pyrifera,Vega et al. 2005
Araucanian,Macrocystis pyrifera,Central_Chile_Fondecyt
Bassian,Ecklonia radiata,KelpCover_Temperate_Australia_Laminariales; Shepherd et al 2009
Bassian,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
Bassian,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
Bassian,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
Bassian,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
Beaufort Sea - continental coast and shelf,Alaria esculenta,Konar_Beaufort_Sea
Beaufort Sea - continental coast and shelf,Laminaria saccharina,Konar_Beaufort_Sea
Beaufort Sea - continental coast and shelf,Laminaria solidungula,Konar_Beaufort_Sea
Cape Howe,Ecklonia radiata,KelpCover_Temperate_Australia_Laminariales
Cape Howe,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
Cape Howe,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
Celtic Seas,Agarum fimbriatum,REBENT_Brittany_NW_France
Celtic Seas,Alaria esculenta,Northern_Ireland_Summary
Celtic Seas,Laminaria digitata,Davoult et al. 2011; Northern_Ireland_Summary
Celtic Seas,Laminaria farlowii,REBENT_Brittany_NW_France
Celtic Seas,Laminaria hyperborea,Kain 1977; Northern_Ireland_Summary
Celtic Seas,Laminaria spp.,REBENT_Brittany_NW_France
Celtic Seas,Saccharina latissima,Northern_Ireland_Summary
Celtic Seas,Saccorhiza polyschides,Northern_Ireland_Summary
Central Chile,Lessonia nigrescens,Northern_Chile
Central Chile,Lessonia trabeculata,Central_Chile_Fondecyt; Northern_Chile
Central Chile,Macrocystis pyrifera,Northern_Chile
Central Chile,Macrocystis pyrifera,Central_Chile_Fondecyt
Central New Zealand,Ecklonia radiata,Northern_New_Zealand
Central New Zealand,Lessonia variegata,Northern_New_Zealand
Central New Zealand,Macrocystis pyrifera,Northern_New_Zealand
Central New Zealand,Undaria pinnatifida,Northern_New_Zealand
Chiloense,Macrocystis pyrifera,Southern_Chile
East Greenland Shelf,Saccharina latissima,Borum et al 2002
Great Australian Bight,Ecklonia radiata,KelpCover_Temperate_Australia_Laminariales
Great Australian Bight,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
Great Australian Bight,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
Gulf of Alaska,Agarum clathratum,Dean et al. 2000; konar_GulfOfAlaska
Gulf of Alaska,Alaria fistulosa,konar_GulfOfAlaska
Gulf of Alaska,Alaria marginata,konar_GulfOfAlaska
Gulf of Alaska,Costaria costata,konar_GulfOfAlaska
Gulf of Alaska,Cymathaere triplicata,konar_GulfOfAlaska
Gulf of Alaska,Eualaria fistulosa,Estes_NPRB
Gulf of Alaska,Laminaria bongardiana,Dean et al. 2000
Gulf of Alaska,Laminaria longipes,Estes_NPRB
Gulf of Alaska,Laminaria sp,Estes_NPRB
Gulf of Alaska,Laminaria yezoensis,Estes_NPRB
Gulf of Alaska,Laminaria yezoensis,konar_GulfOfAlaska
Gulf of Alaska,Nereocystis luetkeana,Dean et al. 2000; konar_GulfOfAlaska
Gulf of Alaska,Nereocystis sp.,Estes_NPRB
Gulf of Alaska,Pleurophycus gardneri,konar_GulfOfAlaska
Gulf of Alaska,Saccharina latissima,Dean et al. 2000
Gulf of Maine/Bay of Fundy,Agarum clathratum,Normandeau; steneck_gom; witman_gom
Gulf of Maine/Bay of Fundy,Alaria esculenta,Normandeau; Siddon & Witman 2003; steneck_gom; witman_gom
Gulf of Maine/Bay of Fundy,Laminaria digitata,Normandeau; Steneck 1997; steneck_gom; Witman 1987
Gulf of Maine/Bay of Fundy,Laminaria saccharina,Lambert et al. 1992
Gulf of Maine/Bay of Fundy,Saccharina latissima,Normandeau; Steneck 1997; steneck_gom; Witman 1987; witman_gom
Gulf of St. Lawrence - Eastern Scotian Shelf,Agarum clathratum,Gagnon et al. 2005
Gulf of St. Lawrence - Eastern Scotian Shelf,Agarum cribosum,Gagnon et al 2004
Gulf of St. Lawrence - Eastern Scotian Shelf,Alaria esculenta,Gagnon et al 2004
Gulf of St. Lawrence - Eastern Scotian Shelf,Laminaria saccharina,Gagnon et al 2004
Houtman,Ecklonia radiata,Australia_WA_Wernberg; de Bettignies et al. 2013; KelpCover_Temperate_Australia_Laminariales; Kirkman 1984; Kirkman 1989 
Houtman,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
Houtman,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
Houtman,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
Houtman,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
Humboldtian,Lessonia nigrescens,Northern_Chile
Humboldtian,Lessonia trabeculata,Northern_Chile; Vasquez et al. 2006
Humboldtian,Macrocystis pyrifera,Northern_Chile; Vasquez et al. 2006
Kamchatka Shelf and Coast,Agarum clathratum,Estes_NPRB
Kamchatka Shelf and Coast,Agarum clathrus,Estes_NPRB
Kamchatka Shelf and Coast,Cymathaere triplicata,Estes_NPRB
Kamchatka Shelf and Coast,Eualaria fistulosa,Estes_NPRB
Kamchatka Shelf and Coast,Laminaria longipes,Estes_NPRB
Kamchatka Shelf and Coast,Laminaria sp.,Estes_NPRB
Kamchatka Shelf and Coast,Laminaria yezoensis,Estes_NPRB
Kamchatka Shelf and Coast,Nereocystis sp.,Estes_NPRB
Kamchatka Shelf and Coast,Pleurophycus gardneri,Estes_NPRB
Leeuwin,Ecklonia radiata,Australia_WA_Wernberg; KelpCover_Temperate_Australia_Laminariales
Leeuwin,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
Leeuwin,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
Manning-Hawkesbury,Ecklonia radiata,Andrew & Jones 1990; Andrew 1991; Ettinger-Epstein & Kingsford 2008 Austral Ecol; Larkum 1986
Namaqua,Ecklonia maxima,Anderson et al. 2006; Anderson et al. 2007; Field et al. 1980; Levitt et al. 1992; MCM (1997 unpublished data); Rothman et al. 2006
Namaqua,Laminaria pallida,Pulfrich et al. 2003
North American Pacific Fijordland,Agarum clathratum,Estes_NPRB
North American Pacific Fijordland,Agarum clathrus,Estes_NPRB
North American Pacific Fijordland,Alaria marginata,Haida_Gwaii
