"Ecoregion","Species","Studies"
"Agulhas Bank","Ecklonia maxima","Levitt et al. 2002; SA_Gansbaai_kelp"
"Aleutian Islands","Thalassiophyllum sp.","Estes and Duggins 1995"
"","Pleurophycus gardneri","Estes_NPRB"
"","Nereocystis sp.","Estes_NPRB"
"","Laminaria yezoensis","Estes_NPRB"
"","Laminaria sp.","Estes_NPRB"
"","Laminaria longipes","Estes_NPRB"
"","Eualaria fistulosa","Estes_NPRB"
"","Cymathaere triplicata","Estes_NPRB"
"","Alaria sp.","Estes and Duggins 1995"
"","Agarum sp.","Estes and Duggins 1995"
"","Agarum clathratum","Estes_NPRB"
"Araucanian","Macrocystis pyrifera","Vega et al. 2005; Central_Chile_Fondecyt"
"","Lessonia trabeculata","Central_Chile_Fondecyt; Vega et al. 2005"
"Bassian","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Macrocystis pyrifera","KelpCover_Temperate_Australia_Laminariales; KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","KelpCover_Temperate_Australia_Laminariales; Shepherd et al 2009"
"Beaufort Sea - continental coast and shelf","Laminaria solidungula","Konar_Beaufort_Sea"
"","Laminaria saccharina","Konar_Beaufort_Sea"
"","Alaria esculenta","Konar_Beaufort_Sea"
"Cape Howe","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","KelpCover_Temperate_Australia_Laminariales"
"Celtic Seas","Undaria pinnatifida","REBENT_Brittany_NW_France"
"","Saccorhiza polyschides","REBENT_Brittany_NW_France; Northern_Ireland_Summary"
"","Saccharina latissima","REBENT_Brittany_NW_France; Northern_Ireland_Summary"
"","Laminaria ochroleuca","REBENT_Brittany_NW_France"
"","Laminaria hyperborea","REBENT_Brittany_NW_France; Kain 1977; Northern_Ireland_Summary"
"","Laminaria digitata","Davoult et al. 2011; Northern_Ireland_Summary"
"","Alaria esculenta","Northern_Ireland_Summary"
"Central Chile","Macrocystis pyrifera","Northern_Chile; Central_Chile_Fondecyt"
"","Lessonia trabeculata","Central_Chile_Fondecyt; Northern_Chile"
"","Lessonia nigrescens","Northern_Chile"
"Central New Zealand","Undaria pinnatifida","Northern_New_Zealand"
"","Macrocystis pyrifera","Northern_New_Zealand"
"","Lessonia variegata","Northern_New_Zealand"
"","Ecklonia radiata","Northern_New_Zealand"
"Chiloense","Macrocystis pyrifera","Southern_Chile"
"East Greenland Shelf","Saccharina latissima","Borum et al 2002"
"Great Australian Bight","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","KelpCover_Temperate_Australia_Laminariales"
"Gulf of Alaska","Saccharina latissima","Dean et al. 2000"
"","Pleurophycus gardneri","konar_GulfOfAlaska"
"","Nereocystis sp.","Estes_NPRB"
"","Nereocystis luetkeana","Dean et al. 2000; konar_GulfOfAlaska"
"","Laminaria yezoensis","Estes_NPRB; konar_GulfOfAlaska"
"","Laminaria sp","Estes_NPRB"
"","Laminaria longipes","Estes_NPRB"
"","Laminaria bongardiana","Dean et al. 2000"
"","Eualaria fistulosa","Estes_NPRB"
"","Cymathaere triplicata","konar_GulfOfAlaska"
"","Costaria costata","konar_GulfOfAlaska"
"","Alaria marginata","konar_GulfOfAlaska"
"","Alaria fistulosa","konar_GulfOfAlaska"
"","Agarum clathratum","Dean et al. 2000; konar_GulfOfAlaska"
"Gulf of Maine/Bay of Fundy","Saccharina latissima","Normandeau; Steneck 1997; steneck_gom; Witman 1987; witman_gom"
"","Laminaria saccharina","Lambert et al. 1992"
"","Laminaria digitata","Normandeau; Steneck 1997; steneck_gom; Witman 1987"
"","Alaria esculenta","Normandeau; Siddon & Witman 2003; steneck_gom; witman_gom"
"","Agarum clathratum","Normandeau; steneck_gom; witman_gom"
"Gulf of St. Lawrence - Eastern Scotian Shelf","Laminaria saccharina","Gagnon et al 2004"
"","Alaria esculenta","Gagnon et al 2004"
"","Agarum clathratum","Gagnon et al. 2005; Gagnon et al 2004"
"Houtman","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Macrocystis pyrifera","KelpCover_Temperate_Australia_Laminariales; KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","Australia_WA_Wernberg; de Bettignies et al. 2013; KelpCover_Temperate_Australia_Laminariales; Kirkman 1984; Kirkman 1989 "
"Humboldtian","Macrocystis pyrifera","Northern_Chile; Vasquez et al. 2006"
"","Lessonia trabeculata","Northern_Chile; Vasquez et al. 2006"
"","Lessonia nigrescens","Northern_Chile"
"Kamchatka Shelf and Coast","Pleurophycus gardneri","Estes_NPRB"
"","Nereocystis sp.","Estes_NPRB"
"","Laminaria yezoensis","Estes_NPRB"
"","Laminaria sp.","Estes_NPRB"
"","Laminaria longipes","Estes_NPRB"
"","Eualaria fistulosa","Estes_NPRB"
"","Cymathaere triplicata","Estes_NPRB"
"","Agarum clathrus","Estes_NPRB"
"","Agarum clathratum","Estes_NPRB"
"Leeuwin","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","Australia_WA_Wernberg; KelpCover_Temperate_Australia_Laminariales"
